sample_id,sample_stratum,date,trading_date,ticker,sector,text_raw,approved_label,error_type,review_reason,baseline_compound,baseline_class,finance_compound,finance_class,baseline_correct,finance_correct,classification_changed
SV001,negative,2020-06-16,2020-06-16,T,Comm,"AT&T plans to cut thousands of jobs, close stores: Union",negative,correct,job cuts and store closures,-0.2732,negative,-0.2732,negative,True,True,False
SV002,negative,2020-09-10,2020-09-10,T,Comm,"AT&T Drops Lowest-Priced DirecTV Option, but There's a Method to the Madness",neutral,context_error,mixed change with stated rationale,-0.5927,negative,-0.5927,negative,False,False,False
SV003,negative,2020-02-24,2020-02-24,SBUX,Consumer,Shares of several restaurant companies are trading lower amid continued spread of coronavirus including notable upticks in Iran and Italy. NOTE: The virus has raised fear of a global economic slowdown.,negative,correct,shares lower and slowdown fears,-0.4939,negative,-0.4939,negative,True,True,False
SV004,negative,2023-09-20,2023-09-20,DIS,Consumer,Disney CEO says company will 'quiet the noise' in culture wars - analyst,neutral,ambiguous,no clear financial consequence,-0.5574,negative,-0.5574,negative,False,False,False
SV005,negative,2022-08-13,2022-08-15,OXY,Energy,3 Warren Buffett Stocks That Are Dirt Cheap: Are They Buys?,positive,finance_lexicon_gap,value and buy recommendation,-0.34,negative,0.1531,positive,False,True,True
SV006,negative,2023-03-01,2023-03-01,XOM,Energy,"Exxon starts new crude unit at Beaumont, Texas refinery -sources",positive,finance_lexicon_gap,new refinery unit suggests expansion,-0.5719,negative,0.3612,positive,False,True,True
SV007,negative,2022-01-19,2022-01-19,GS,Financials,MORNING BID-Goldman Sachs adds another layer of stress,negative,correct,additional market stress,-0.4215,negative,-0.4215,negative,True,True,False
SV008,negative,2023-04-02,2023-04-03,USB,Financials,3 Warren Buffett Stocks That Are Screaming Buys in April,positive,finance_lexicon_gap,strong buy recommendation,-0.3818,negative,0.1027,positive,False,True,True
SV009,negative,2021-04-03,2021-04-05,ABBV,Healthcare,11 Words From President Biden That Frighten Big Pharma,negative,correct,policy threat to big pharma,-0.34,negative,-0.34,negative,True,True,False
SV010,negative,2023-10-12,2023-10-12,ABBV,Healthcare,Billionaire Paul Tudor Jones Predicts a Recession in Early 2024. Here's What It Could Mean for Stocks.,neutral,target_mismatch,broad recession headline; not ABBV-specific,-0.4215,negative,-0.4215,negative,False,False,False
SV011,negative,2020-11-09,2020-11-09,BA,Industrials,European Union Imposes New Tariffs on Boeing Jets,negative,correct,new tariffs on Boeing jets,-0.1027,negative,-0.1027,negative,True,True,False
SV012,negative,2021-12-28,2021-12-28,BA,Industrials,US STOCKS-S&P 500 closes lower after four-day rally to record high,neutral,target_mismatch,broad index move; not BA-specific,-0.296,negative,-0.296,negative,False,False,False
SV013,negative,2020-03-16,2020-03-16,NEM,Materials,"Dow Jones Slumps 2,792 Points To New Low; These Growth Stocks Buck Bear Market Drop",neutral,target_mismatch,broad market headline; NEM not named,-0.1531,negative,-0.1531,negative,False,False,False
SV014,negative,2023-09-14,2023-09-14,NEM,Materials,"Global silver demand to fall 9.4% in 2023, Chile's Cochilco says",negative,correct,falling silver demand,-0.128,negative,-0.128,negative,True,True,False
SV015,negative,2020-03-31,2020-03-31,AMT,RealEstate,Shares of several real estate companies are trading lower despite market strength. NOTE: The lending industry has been negatively impacted by macro disruption amid coronavirus outbreak.,negative,correct,shares lower and lending disruption,-0.6283,negative,-0.6283,negative,True,True,False
SV016,negative,2022-11-22,2022-11-22,AMT,RealEstate,Office REITs are Facing Trouble. Consider This REIT Instead,positive,context_error,contrast recommends this REIT instead,-0.4019,negative,-0.4019,negative,False,False,False
SV017,negative,2021-04-29,2021-04-29,INTC,Tech,ANALYSIS-Chip shortages expose Achilles' heel of Germany's recovery,negative,correct,chip shortage and recovery weakness,-0.296,negative,-0.296,negative,True,True,False
